year,county_code,district_code,school_code,county_name,district_name,school_name,NSLP,charter_school_number,charter_type,grade_low,grade_high,enrollment_k_12,free_meal_count_unadjusted,free_meal_count_adjusted,free_meal_count_adjusted_percent,frpm_count_unadjusted,frpm_count_adjusted,frpm_count_adjusted_percent,
2013-14,11,76562,1130053,Glenn,Hamilton Unified,Ella Barkley High,N,,,10,12,13,12,12,92.3%,13,13,100.0%,
2013-14,11,76562,1133701,Glenn,Hamilton Unified,Hamilton High,N,,,9,12,270,109,109,40.4%,166,166,61.5%,
2013-14,11,76562,6007447,Glenn,Hamilton Unified,Hamilton Elementary,N,,,K,8,440,299,301,68.4%,400,400,90.9%,
2013-14,12,10124,0106153,Humboldt,Humboldt County Office of Education,Eel River Community,N,,,7,12,62,50,50,80.6%,54,54,87.1%,
2013-14,12,10124,0106161,Humboldt,Humboldt County Office of Education,Eureka Community,N,,,7,12,79,66,66,83.5%,72,72,91.1%,
2013-14,12,10124,0106179,Humboldt,Humboldt County Office of Education,Southern Humboldt Community,N,,,7,12,12,8,8,66.7%,9,9,75.0%,
2013-14,12,10124,0106195,Humboldt,Humboldt County Office of Education,Humboldt County Office of Education Court,N,,,7,12,12,12,12,100.0%,12,12,100.0%,
2013-14,12,10124,0106203,Humboldt,Humboldt County Office of Education,Humboldt County Office of Education Juvenile Hall Court,N,,,P,12,13,13,13,100.0%,13,13,100.0%,
2013-14,12,10124,0115097,Humboldt,Humboldt County Office of Education,Northcoast Preparatory and Performing Arts Academy,N,0930,Directly funded,9,12,138,6,8,5.8%,61,61,44.2%,
2013-14,12,10124,6077192,Humboldt,Humboldt County Office of Education,Glen Paul,N,,,K,12,99,38,38,38.4%,55,55,55.6%,
2013-14,12,62679,0109975,Humboldt,Arcata Elementary,Fuente Nueva Charter,N,0744,Directly funded,K,6,103,25,25,24.3%,39,39,37.9%,
2013-14,12,62679,0111708,Humboldt,Arcata Elementary,Union Street Charter,N,0769,Locally funded,K,5,100,7,8,8.0%,9,10,10.0%,
2013-14,12,62679,0127266,Humboldt,Arcata Elementary,Redwood Coast Montessori,N,1496,Directly funded,K,8,60,4,4,6.7%,31,31,51.7%,
2013-14,12,62679,6007660,Humboldt,Arcata Elementary,Sunny Brae Middle,N,,,6,8,221,88,88,39.8%,119,119,53.8%,
2013-14,12,62679,6007678,Humboldt,Arcata Elementary,Arcata Elementary,N,,,K,5,311,189,190,61.1%,220,220,70.7%,
2013-14,12,62679,6120562,Humboldt,Arcata Elementary,Coastal Grove Charter,N,0466,Directly funded,K,8,224,80,83,37.1%,118,121,54.0%,
2013-14,12,62687,0107110,Humboldt,Northern Humboldt Union High,Six Rivers Charter High,N,0642,Locally funded,9,12,101,23,24,23.8%,34,34,33.7%,
2013-14,12,62687,0124263,Humboldt,Northern Humboldt Union High,Laurel Tree Charter,N,1320,Directly funded,K,12,114,34,36,31.6%,49,51,44.7%,
2013-14,12,62687,1230044,Humboldt,Northern Humboldt Union High,Pacific Coast High (Continuation),N,,,9,12,43,33,34,79.1%,35,36,83.7%,
2013-14,12,62687,1230051,Humboldt,Northern Humboldt Union High,Tsurai High (Continuation),N,,,9,12,35,23,24,68.6%,24,25,71.4%,
2013-14,12,62687,1230143,Humboldt,Northern Humboldt Union High,Northern Humboldt Community Day,N,,,9,12,5,5,5,100.0%,5,5,100.0%,
2013-14,12,62687,1230705,Humboldt,Northern Humboldt Union High,Arcata High,N,,,9,12,832,212,223,26.8%,249,257,30.9%,
2013-14,12,62687,1235209,Humboldt,Northern Humboldt Union High,McKinleyville High,N,,,9,12,614,180,182,29.6%,216,218,35.5%,
2013-14,12,62695,6007686,Humboldt,Big Lagoon Union Elementary,Big Lagoon Elementary,N,,,K,8,54,38,39,72.2%,46,46,85.2%,
2013-14,12,62703,6007694,Humboldt,Blue Lake Union Elementary,Blue Lake Elementary,N,,,K,8,158,62,63,39.9%,82,83,52.5%,
2013-14,12,62729,6007710,Humboldt,Bridgeville Elementary,Bridgeville Elementary,Y,,,K,8,42,26,26,61.9%,26,26,61.9%,
2013-14,12,62737,6007728,Humboldt,Cuddeback Union Elementary,Cuddeback Elementary,N,,,K,8,119,48,49,41.2%,59,59,49.6%,
2013-14,12,62745,6007736,Humboldt,Cutten Elementary,Cutten Elementary,N,,,3,6,312,98,99,31.7%,136,136,43.6%,
2013-14,12,62745,6007744,Humboldt,Cutten Elementary,Ridgewood Elementary,N,,,K,2,260,92,92,35.4%,128,128,49.2%,
2013-14,12,62794,6007850,Humboldt,Fieldbrook Elementary,Fieldbrook Elementary,N,,,K,8,140,39,39,27.9%,51,51,36.4%,
2013-14,12,62810,0108688,Humboldt,Fortuna Union High,Academy of the Redwoods,N,,,9,12,168,39,39,23.2%,75,75,44.6%,
2013-14,12,62810,1233352,Humboldt,Fortuna Union High,East High (Continuation),N,,,10,12,85,49,50,58.8%,59,60,70.6%,
2013-14,12,62810,1233402,Humboldt,Fortuna Union High,Fortuna Union High,N,,,9,12,844,313,316,37.4%,384,387,45.9%,
2013-14,12,62828,6007884,Humboldt,Freshwater Elementary,Freshwater Elementary,N,,,K,6,269,45,45,16.7%,63,63,23.4%,
2013-14,12,62828,6116289,Humboldt,Freshwater Elementary,Freshwater Charter Middle,N,0173,Locally funded,7,8,51,10,10,19.6%,11,11,21.6%,
2013-14,12,62836,6007892,Humboldt,Garfield Elementary,Garfield Elementary,N,,,K,6,54,9,9,16.7%,12,12,22.2%,
2013-14,12,62851,6007918,Humboldt,Green Point Elementary,Green Point Elementary,N,,,K,8,8,5,5,62.5%,5,5,62.5%,
2013-14,12,62885,6007942,Humboldt,Hydesville Elementary,Hydesville Elementary,N,,,K,8,174,35,36,20.7%,51,51,29.3%,
2013-14,12,62893,6007959,Humboldt,Jacoby Creek Elementary,Jacoby Creek Charter,N,00D8,Locally funded,K,8,417,47,48,11.5%,62,62,14.9%,
2013-14,12,62901,0118182,Humboldt,Klamath-Trinity Joint Unified,River's Edge Community Day,Y,,,K,8,7,6,6,85.7%,6,6,85.7%,
2013-14,12,62901,0118190,Humboldt,Klamath-Trinity Joint Unified,Two Rivers Community Day,Y,,,8,12,12,12,12,100.0%,12,12,100.0%,
2013-14,12,62901,1230028,Humboldt,Klamath-Trinity Joint Unified,Captain John Continuation High,Y,,,9,12,43,36,38,88.4%,37,39,90.7%,
2013-14,12,62901,1234004,Humboldt,Klamath-Trinity Joint Unified,Hoopa Valley High,Y,,,9,12,236,148,153,64.8%,164,168,71.2%,
2013-14,12,62901,6007967,Humboldt,Klamath-Trinity Joint Unified,Hoopa Valley Elementary,Y,,,K,8,476,435,437,91.8%,447,449,94.3%,
2013-14,12,62901,6007975,Humboldt,Klamath-Trinity Joint Unified,Orleans Elementary,Y,,,K,8,57,36,37,64.9%,48,49,86.0%,
2013-14,12,62901,6007983,Humboldt,Klamath-Trinity Joint Unified,Jack Norton Elementary,Y,,,K,8,31,30,30,96.8%,31,31,100.0%,
2013-14,12,62901,6007991,Humboldt,Klamath-Trinity Joint Unified,Trinity Valley Elementary,Y,,,K,8,165,156,156,94.5%,159,159,96.4%,
2013-14,12,62901,6008007,Humboldt,Klamath-Trinity Joint Unified,Weitchpec Elementary,Y,,,K,8,15,13,13,86.7%,13,13,86.7%,
2013-14,12,62919,6008015,Humboldt,Kneeland Elementary,Kneeland Elementary,N,,,K,8,34,10,10,29.4%,10,10,29.4%,
2013-14,12,62927,1230150,Humboldt,Loleta Union Elementary,Pacific View Charter,N,0277,Directly funded,K,12,130,74,74,56.9%,85,85,65.4%,
2013-14,12,62927,6008023,Humboldt,Loleta Union Elementary,Loleta Elementary,N,,,K,8,112,100,100,89.3%,106,106,94.6%,
2013-14,12,62935,6008031,Humboldt,Maple Creek Elementary,Maple Creek Elementary,N,,,K,8,12,7,7,58.3%,9,9,75.0%,
2013-14,12,62950,6008056,Humboldt,McKinleyville Union Elementary,Dows Prairie Elementary,N,,,K,5,474,193,193,40.7%,262,262,55.3%,
2013-14,12,62950,6008064,Humboldt,McKinleyville Union Elementary,McKinleyville Middle,N,,,6,8,380,131,131,34.5%,161,161,42.4%,
2013-14,12,62950,6008072,Humboldt,McKinleyville Union Elementary,Morris Elementary,N,,,K,5,325,122,124,38.2%,158,160,49.2%,
2013-14,12,62968,6008080,Humboldt,Orick Elementary,Orick Elementary,N,,,K,8,8,6,6,75.0%,6,6,75.0%,
2013-14,12,62976,0115154,Humboldt,Pacific Union Elementary,Trillium Charter,N,0891,Locally funded,K,5,44,30,30,68.2%,32,32,72.7%,
2013-14,12,62976,6008098,Humboldt,Pacific Union Elementary,Pacific Union Elementary,N,,,K,8,518,245,246,47.5%,285,286,55.2%,
2013-14,12,62984,6008106,Humboldt,Peninsula Union ,Peninsula Union Elementary,N,,,K,8,35,26,26,74.3%,32,32,91.4%,
2013-14,12,63008,6008114,Humboldt,Rio Dell Elementary,Eagle Prairie Elementary,N,,,K,5,227,139,141,62.1%,163,165,72.7%,
2013-14,12,63008,6008122,Humboldt,Rio Dell Elementary,Monument Middle,N,,,6,8,98,58,58,59.2%,71,71,72.4%,
2013-14,12,63024,6008155,Humboldt,Scotia Union Elementary,Stanwood A. Murphy Elementary,N,,,K,8,227,111,111,48.9%,148,148,65.2%,
2013-14,12,63032,0111203,Humboldt,South Bay Union Elementary,Alder Grove Charter,N,0760,Directly funded,K,12,331,148,148,44.7%,211,211,63.7%,
2013-14,12,63032,0124289,Humboldt,South Bay Union Elementary,South Bay Charter,N,1303,Locally funded,K,8,79,35,36,45.6%,43,44,55.7%,
2013-14,12,63032,6008163,Humboldt,South Bay Union Elementary,Pine Hill Elementary,N,,,K,3,281,164,165,58.7%,189,190,67.6%,
2013-14,12,63032,6008171,Humboldt,South Bay Union Elementary,South Bay Elementary,N,,,4,6,161,90,91,56.5%,109,110,68.3%,
2013-14,12,63040,1230010,Humboldt,Southern Humboldt Joint Unified,Osprey Learning Center,N,,,9,12,18,12,12,66.7%,12,12,66.7%,
2013-14,12,63040,1230069,Humboldt,Southern Humboldt Joint Unified,Osprey Learning Center (Alternative),N,,,K,12,3,1,1,33.3%,1,1,33.3%,
2013-14,12,63040,1237007,Humboldt,Southern Humboldt Joint Unified,South Fork Junior - Senior High,N,,,8,12,239,107,107,44.8%,129,129,54.0%,
2013-14,12,63040,6008197,Humboldt,Southern Humboldt Joint Unified,Casterlin Elementary,N,,,K,8,40,11,11,27.5%,18,18,45.0%,
2013-14,12,63040,6008213,Humboldt,Southern Humboldt Joint Unified,Redway Elementary,N,,,K,7,324,141,141,43.5%,180,180,55.6%,
2013-14,12,63040,6008221,Humboldt,Southern Humboldt Joint Unified,Agnes J. Johnson  Elementary,N,,,K,5,66,34,34,51.5%,44,44,66.7%,
2013-14,12,63040,6008239,Humboldt,Southern Humboldt Joint Unified,Whitethorn Elementary,N,,,K,6,78,18,18,23.1%,22,22,28.2%,
2013-14,12,63057,6008247,Humboldt,Trinidad Union Elementary,Trinidad Elementary,N,,,K,8,157,69,69,43.9%,92,92,58.6%,
2013-14,12,75374,1232909,Humboldt,Ferndale Unified,Ferndale High,N,,,9,12,151,37,37,24.5%,50,50,33.1%,
2013-14,12,75374,6007843,Humboldt,Ferndale Unified,Ferndale Elementary,N,,,K,8,357,116,116,32.5%,152,152,42.6%,
2013-14,12,75382,1230085,Humboldt,Mattole Unified,Mattole Triple Junction High,N,,,9,12,9,2,2,22.2%,2,2,22.2%,
2013-14,12,75382,1230135,Humboldt,Mattole Unified,Mattole Valley Charter (#159),N,0159,Locally funded,K,12,662,250,256,38.7%,448,449,67.8%,
2013-14,12,75382,6008049,Humboldt,Mattole Unified,Mattole Elementary,N,,,K,8,46,16,16,34.8%,18,18,39.1%,
2013-14,12,75382,6107874,Humboldt,Mattole Unified,Honeydew Elementary,N,,,K,4,10,7,7,70.0%,7,7,70.0%,
2013-14,12,75515,0000000,Humboldt,Eureka City Schools,District Office,N,,,K,Adult,23,9,9,39.1%,9,9,39.1%,
2013-14,12,75515,0127407,Humboldt,Eureka City Schools,Winship Middle,N,,,6,7,276,116,116,42.0%,141,141,51.1%,
2013-14,12,75515,1232057,Humboldt,Eureka City Schools,Zoe Barnum High,N,,,10,12,70,42,42,60.0%,47,47,67.1%,
2013-14,12,75515,1232206,Humboldt,Eureka City Schools,Eureka Senior High,N,,,9,12,"1,151",448,456,39.6%,529,537,46.7%,
2013-14,12,75515,6007751,Humboldt,Eureka City Schools,Alice Birney Elementary,N,,,K,5,453,378,385,85.0%,418,421,92.9%,
2013-14,12,75515,6007777,Humboldt,Eureka City Schools,Grant Elementary,N,,,K,5,316,217,219,69.3%,253,255,80.7%,
2013-14,12,75515,6007793,Humboldt,Eureka City Schools,Lafayette Elementary,N,,,K,5,315,207,209,66.3%,247,249,79.0%,
2013-14,12,75515,6007827,Humboldt,Eureka City Schools,Washington Elementary,N,,,K,5,513,213,219,42.7%,258,264,51.5%,
2013-14,12,75515,6057376,Humboldt,Eureka City Schools,Catherine L. Zane Middle,N,,,6,8,609,327,330,54.2%,400,403,66.2%,
2013-14,12,76802,0124164,Humboldt,Fortuna Elementary,Redwood Preparatory Charter,N,1304,Directly funded,K,7,158,31,31,19.6%,43,43,27.2%,
2013-14,12,76802,6007868,Humboldt,Fortuna Elementary,Fortuna Middle,N,,,5,8,252,164,165,65.5%,190,191,75.8%,
2013-14,12,76802,6007876,Humboldt,Fortuna Elementary,South Fortuna Elementary,N,,,K,4,373,283,288,77.2%,308,312,83.6%,
2013-14,12,76802,6008130,Humboldt,Fortuna Elementary,Norman G. Ambrosini Elementary,N,,,K,4,261,121,123,47.1%,148,150,57.5%,
2013-14,12,76802,6008148,Humboldt,Fortuna Elementary,Toddy Thomas Elementary,N,,,5,8,273,118,122,44.7%,136,140,51.3%,
2013-14,13,10132,1330117,Imperial,Imperial County Office of Education,Imperial County Juvenile Hall/Community,N,,,K,12,207,198,198,95.7%,200,200,96.6%,
2013-14,13,10132,6069272,Imperial,Imperial County Office of Education,Imperial County Special Education,N,,,K,12,321,213,213,66.4%,233,233,72.6%,
2013-14,13,63073,6008262,Imperial,Brawley Elementary,Barbara Worth Junior High,N,,,7,8,487,316,320,65.7%,354,358,73.5%,
2013-14,13,63073,6008270,Imperial,Brawley Elementary,Miguel Hidalgo Elementary,N,,,K,6,679,383,391,57.6%,425,432,63.6%,
2013-14,13,63073,6008288,Imperial,Brawley Elementary,J. W. Oakley Elementary,N,,,K,3,"1,001",671,708,70.7%,714,750,74.9%,
2013-14,13,63073,6008296,Imperial,Brawley Elementary,Myron D. Witter Elementary,N,,,K,3,950,581,597,62.8%,639,653,68.7%,
2013-14,13,63073,6008304,Imperial,Brawley Elementary,Phil D. Swing Elementary,N,,,K,6,884,561,578,65.4%,608,622,70.4%,
2013-14,13,63081,1330141,Imperial,Brawley Union High,Renaissance,N,,,9,12,10,8,8,80.0%,8,8,80.0%,
2013-14,13,63081,1331354,Imperial,Brawley Union High,Desert Valley High (Continuation),N,,,9,12,174,106,107,61.5%,119,120,69.0%,
2013-14,13,63081,1331404,Imperial,Brawley Union High,Brawley High,N,,,9,12,"1,693",999,"1,005",59.4%,"1,144","1,145",67.6%,
2013-14,13,63099,0112318,Imperial,Calexico Unified,Enrique Camarena Jr. High,Y,,,7,9,680,456,457,67.2%,537,538,79.1%,
2013-14,13,63099,0113985,Imperial,Calexico Unified,Cesar Chavez Elementary,Y,,,K,6,"1,039",556,557,53.6%,721,722,69.5%,
2013-14,13,63099,1332154,Imperial,Calexico Unified,Aurora High (Continuation),Y,,,9,12,203,155,156,76.8%,167,168,82.8%,
2013-14,13,63099,1332204,Imperial,Calexico Unified,Calexico High,Y,,,9,12,"2,935","2,127","2,134",72.7%,"2,400","2,401",81.8%,
2013-14,13,63099,6008346,Imperial,Calexico Unified,Dool Elementary,Y,,,K,6,640,558,560,87.5%,588,590,92.2%,
2013-14,13,63099,6008361,Imperial,Calexico Unified,Jefferson Elementary,Y,,,K,6,675,546,548,81.2%,591,593,87.9%,
2013-14,13,63099,6008379,Imperial,Calexico Unified,Rockwood Elementary,Y,,,K,6,594,562,565,95.1%,579,581,97.8%,
2013-14,13,63099,6008387,Imperial,Calexico Unified,Mains Elementary,Y,,,K,6,479,439,441,92.1%,460,460,96.0%,
2013-14,13,63099,6099485,Imperial,Calexico Unified,Kennedy Gardens,Y,,,K,6,599,470,474,79.1%,518,521,87.0%,
2013-14,13,63099,6106975,Imperial,Calexico Unified,Blanche Charles Elementary,Y,,,K,6,548,451,452,82.5%,492,492,89.8%,
2013-14,13,63099,6111587,Imperial,Calexico Unified,William Moreno Junior High,Y,,,7,9,755,659,660,87.4%,710,710,94.0%,
2013-14,13,63107,1332501,Imperial,Calipatria Unified,Calipatria High,Y,,,9,12,336,210,211,62.8%,236,237,70.5%,
2013-14,13,63107,6008395,Imperial,Calipatria Unified,Bill E. Young Jr. Middle,Y,,,5,8,370,246,246,66.5%,274,274,74.1%,
2013-14,13,63107,6008403,Imperial,Calipatria Unified,Grace Smith Elementary,Y,,,K,4,93,80,80,86.0%,84,84,90.3%,
2013-14,13,63107,6103535,Imperial,Calipatria Unified,Fremont Primary,Y,,,K,4,375,280,280,74.7%,314,314,83.7%,
2013-14,13,63115,1330133,Imperial,Central Union High,Southwest High,N,,,9,12,"2,005","1,239","1,240",61.8%,"1,433","1,433",71.5%,
2013-14,13,63115,1333004,Imperial,Central Union High,Central Union High,N,,,9,12,"1,896","1,176","1,183",62.4%,"1,387","1,391",73.4%,
2013-14,13,63115,1333558,Imperial,Central Union High,Desert Oasis High (Continuation),N,,,9,12,166,143,143,86.1%,151,151,91.0%,
2013-14,13,63123,0118455,Imperial,El Centro Elementary,Ballington Academy for the Arts and Sciences,N,1030,Directly funded,K,6,275,53,67,24.4%,53,67,24.4%,
2013-14,13,63123,0121855,Imperial,El Centro Elementary,Imagine Schools at Imperial Valley,N,1044,Directly funded,K,7,838,545,556,66.3%,634,644,76.8%,
2013-14,13,63123,0122663,Imperial,El Centro Elementary,Imperial Valley Home School Academy,N,1249,Locally funded,K,8,48,6,6,12.5%,6,6,12.5%,
2013-14,13,63123,6008411,Imperial,El Centro Elementary,De Anza Magnet,N,,,K,8,471,221,221,46.9%,299,299,63.5%,
2013-14,13,63123,6008429,Imperial,El Centro Elementary,Desert Garden Elementary,N,,,K,6,347,241,249,71.8%,279,286,82.4%,
2013-14,13,63123,6008437,Imperial,El Centro Elementary,Harding Elementary,N,,,K,6,498,351,354,71.1%,427,428,85.9%,
2013-14,13,63123,6008445,Imperial,El Centro Elementary,Kennedy Middle,N,,,7,8,365,303,304,83.3%,333,334,91.5%,
2013-14,13,63123,6008452,Imperial,El Centro Elementary,Lincoln Elementary,N,,,K,6,416,299,319,76.7%,318,338,81.3%,
2013-14,13,63123,6008460,Imperial,El Centro Elementary,Margaret Hedrick Elementary,N,,,K,6,470,253,259,55.1%,323,327,69.6%,
2013-14,13,63123,6008478,Imperial,El Centro Elementary,McKinley Elementary,N,,,K,6,415,345,346,83.4%,376,377,90.8%,
2013-14,13,63123,6008486,Imperial,El Centro Elementary,Washington Elementary,N,,,K,6,423,376,380,89.8%,394,396,93.6%,
2013-14,13,63123,6008494,Imperial,El Centro Elementary,Wilson Jr. High,N,,,7,8,684,459,462,67.5%,551,551,80.6%,
2013-14,13,63123,6108823,Imperial,El Centro Elementary,Martin Luther King Jr. Elementary,N,,,K,6,403,304,311,77.2%,334,339,84.1%,
2013-14,13,63123,6113658,Imperial,El Centro Elementary,Sunflower Elementary,N,,,K,6,441,242,244,55.3%,302,302,68.5%,
2013-14,13,63131,6008502,Imperial,Heber Elementary,Heber Elementary,Y,,,K,8,"1,206","1,056","1,056",87.6%,"1,144","1,144",94.9%,
2013-14,13,63149,0125922,Imperial,Holtville Unified,Freedom Academy of Imperial Valley,N,,,K,12,29,8,8,27.6%,8,8,27.6%,
2013-14,13,63149,1335306,Imperial,Holtville Unified,Holtville High,Y,,,9,12,510,300,300,58.8%,321,321,62.9%,
2013-14,13,63149,1337138,Imperial,Holtville Unified,Sam Webb Continuation,N,,,9,12,12,7,8,66.7%,7,8,66.7%,
2013-14,13,63149,6008510,Imperial,Holtville Unified,Emmett S. Finley Elementary,Y,,,K,5,543,384,389,71.6%,419,423,77.9%,
2013-14,13,63149,6008528,Imperial,Holtville Unified,Holtville Junior High,Y,,,6,8,302,231,231,76.5%,245,245,81.1%,
2013-14,13,63149,6008536,Imperial,Holtville Unified,Pine Elementary,Y,,,K,8,154,94,94,61.0%,107,107,69.5%,
2013-14,13,63164,0000001,Imperial,Imperial Unified,"Nonpublic, Nonsectarian Schools",N,,,,,1,0,0,0.0%,0,0,0.0%,
2013-14,13,63164,1331115,Imperial,Imperial Unified,Imperial Ave. Holbrook High,N,,,9,12,69,31,31,44.9%,41,41,59.4%,
2013-14,13,63164,1335900,Imperial,Imperial Unified,Imperial High,N,,,9,12,"1,083",387,387,35.7%,485,485,44.8%,
2013-14,13,63164,6008551,Imperial,Imperial Unified,Ben Hulse Elementary,N,,,K,5,943,428,433,45.9%,511,515,54.6%,
2013-14,13,63164,6008569,Imperial,Imperial Unified,Frank M. Wright Middle,N,,,6,8,889,359,359,40.4%,450,450,50.6%,
2013-14,13,63164,6117808,Imperial,Imperial Unified,T. L. Waggoner Elementary,N,,,K,5,819,275,275,33.6%,343,343,41.9%,
2013-14,13,63172,6008585,Imperial,Magnolia Union Elementary,Magnolia Elementary,N,,,K,8,134,23,23,17.2%,28,28,20.9%,
2013-14,13,63180,6008593,Imperial,McCabe Union Elementary,McCabe Elementary,N,,,K,8,"1,352",260,263,19.5%,386,387,28.6%,
2013-14,13,63198,6008619,Imperial,Meadows Union Elementary,Meadows Elementary,Y,,,K,8,468,331,332,70.9%,378,379,81.0%,
2013-14,13,63206,6008627,Imperial,Mulberry Elementary,Mulberry Elementary,N,,,K,8,84,32,32,38.1%,44,44,52.4%,
2013-14,13,63214,0120881,Imperial,San Pasqual Valley Unified,San Pasqual Vocational Academy,N,,,7,12,11,10,10,90.9%,11,11,100.0%,
2013-14,13,63214,1330018,Imperial,San Pasqual Valley Unified,Bill M. Manes High,N,,,9,12,19,15,15,78.9%,16,16,84.2%,
2013-14,13,63214,1337609,Imperial,San Pasqual Valley Unified,San Pasqual Valley High,Y,,,9,12,169,136,136,80.5%,148,148,87.6%,
2013-14,13,63214,6008635,Imperial,San Pasqual Valley Unified,San Pasqual Valley Elementary,N,,,K,5,400,371,371,92.8%,389,389,97.3%,
2013-14,13,63214,6106298,Imperial,San Pasqual Valley Unified,San Pasqual Middle,N,,,6,8,183,163,164,89.6%,175,175,95.6%,
2013-14,13,63222,6008643,Imperial,Seeley Union Elementary,Seeley Elementary,Y,,,K,8,349,245,245,70.2%,288,288,82.5%,
2013-14,13,63230,6008650,Imperial,Westmorland Union Elementary,Westmorland Elementary,Y,,,K,8,363,318,318,87.6%,338,338,93.1%,
2013-14,14,10140,0117994,Inyo,Inyo County Office of Education,YouthBuild Charter School of California,N,1012,Locally funded,9,12,"1,139",968,974,85.5%,"1,011","1,017",89.3%,
2013-14,14,10140,0121301,Inyo,Inyo County Office of Education,YouthBuild Charter School of California Central,N,1165,Locally funded,9,12,740,637,641,86.6%,684,687,92.8%,
2013-14,14,10140,0128447,Inyo,Inyo County Office of Education,The Education Corps,N,1594,Locally funded,9,12,371,353,355,95.7%,362,362,97.6%,
2013-14,14,10140,0128454,Inyo,Inyo County Office of Education,College Bridge Academy,N,1593,Locally funded,9,12,78,76,76,97.4%,76,76,97.4%,
2013-14,14,10140,1430073,Inyo,Inyo County Office of Education,Jill Kinmont Boothe,N,,,K,12,13,6,6,46.2%,7,7,53.8%,
2013-14,14,10140,1430099,Inyo,Inyo County Office of Education,Opportunity,N,,,K,12,3,1,1,33.3%,1,1,33.3%,
2013-14,14,63248,1431352,Inyo,Big Pine Unified,Big Pine High,N,,,9,12,39,27,27,69.2%,31,31,79.5%,
2013-14,14,63248,6008692,Inyo,Big Pine Unified,Big Pine Elementary,N,,,K,8,145,88,89,61.4%,111,111,76.6%,
2013-14,14,63271,1438308,Inyo,Death Valley Unified,Death Valley High Academy,N,,,7,12,12,8,8,66.7%,10,10,83.3%,
2013-14,14,63271,6008734,Inyo,Death Valley Unified,Death Valley Elementary,N,,,K,6,5,3,3,60.0%,3,3,60.0%,
2013-14,14,63271,6008742,Inyo,Death Valley Unified,Shoshone Elementary,N,,,K,6,2,1,1,50.0%,1,1,50.0%,
2013-14,14,63271,6008759,Inyo,Death Valley Unified,Tecopa-Francis Elementary,N,,,K,6,6,3,3,50.0%,3,3,50.0%,
2013-14,14,63289,0113241,Inyo,Lone Pine Unified,Sierra Alternative Learning Academy,N,,,9,12,3,3,3,100.0%,3,3,100.0%,
2013-14,14,63289,1434901,Inyo,Lone Pine Unified,Lone Pine High,N,,,9,12,101,45,45,44.6%,51,51,50.5%,
2013-14,14,63289,6008775,Inyo,Lone Pine Unified,Lo-Inyo Elementary,N,,,K,8,257,159,159,61.9%,174,174,67.7%,
2013-14,14,63297,1436203,Inyo,Owens Valley Unified,Owens Valley High,N,,,9,12,23,7,7,30.4%,9,9,39.1%,
2013-14,14,63297,6008791,Inyo,Owens Valley Unified,Owens Valley Elementary,N,,,K,8,43,18,18,41.9%,26,26,60.5%,
2013-14,14,63305,0000000,Inyo,Round Valley Joint Elementary,District Office,N,,,K,8,1,0,0,0.0%,0,0,0.0%,
2013-14,14,63305,6008809,Inyo,Round Valley Joint Elementary,Round Valley Elementary,N,,,K,8,136,40,41,30.1%,46,47,34.6%,
2013-14,14,76687,0110031,Inyo,Bishop Unified,Bishop Union Elementary Community Day,N,,,5,8,4,2,2,50.0%,2,2,50.0%,
2013-14,14,76687,0118299,Inyo,Bishop Unified,Bishop Union Elementary Community Day II,N,,,K,4,1,0,0,0.0%,0,0,0.0%,
2013-14,14,76687,0119081,Inyo,Bishop Unified,Bishop Independent Study,N,,,9,12,25,9,9,36.0%,9,9,36.0%,
2013-14,14,76687,0125047,Inyo,Bishop Unified,Community Day School III,N,,,9,12,2,0,0,0.0%,0,0,0.0%,
2013-14,14,76687,1430057,Inyo,Bishop Unified,Palisade Glacier High (Continuation),N,,,9,12,27,18,18,66.7%,19,19,70.4%,
2013-14,14,76687,1430107,Inyo,Bishop Unified,Keith B. Bright High (Juvenile Hall),N,,,7,12,4,1,4,100.0%,1,4,100.0%,
2013-14,14,76687,1431600,Inyo,Bishop Unified,Bishop Union High,N,,,9,12,667,214,220,33.0%,275,279,41.8%,
2013-14,14,76687,6008700,Inyo,Bishop Unified,Home Street Middle,N,,,6,8,391,173,177,45.3%,209,213,54.5%,
2013-14,14,76687,6008726,Inyo,Bishop Unified,Pine Street Elementary,N,,,3,5,422,206,211,50.0%,254,257,60.9%,
2013-14,14,76687,6070783,Inyo,Bishop Unified,Elm Street Elementary,N,,,K,2,420,213,214,51.0%,248,249,59.3%,
2013-14,15,10157,0119669,Kern,Kern County Office of Education,Paramount Academy,N,1078,Directly funded,6,12,608,441,442,72.7%,545,546,89.8%,
2013-14,15,10157,0124040,Kern,Kern County Office of Education,Grimmway Academy,N,1292,Directly funded,K,7,513,346,346,67.4%,445,445,86.7%,
2013-14,15,10157,1530302,Kern,Kern County Office of Education,Kern County Juvenile Court,N,,,K,12,393,392,392,99.7%,392,392,99.7%,
2013-14,15,10157,1530310,Kern,Kern County Office of Education,Kern County Community,N,,,K,12,"1,244",885,900,72.3%,949,962,77.3%,
2013-14,15,10157,1530492,Kern,Kern County Office of Education,Valley Oaks Charter,N,0332,Locally funded,K,12,"1,263",232,236,18.7%,371,375,29.7%,
2013-14,15,10157,6069496,Kern,Kern County Office of Education,Kern County Special Education,N,,,K,12,520,309,315,60.6%,340,345,66.3%,
