year,county_code,district_code,school_code,county_name,district_name,school_name,NSLP,charter_school_number,charter_type,grade_low,grade_high,enrollment_k_12,free_meal_count_unadjusted,free_meal_count_adjusted,free_meal_count_adjusted_percent,frpm_count_unadjusted,frpm_count_adjusted,frpm_count_adjusted_percent,
2013-14,01,61309,6002620,Alameda,San Lorenzo Unified,Hillside Elementary,N,,,K,5,519,417,417,80.3%,474,474,91.3%,
2013-14,01,61309,6002653,Alameda,San Lorenzo Unified,Lorenzo Manor Elementary,N,,,K,5,629,419,419,66.6%,488,488,77.6%,
2013-14,01,61309,6002703,Alameda,San Lorenzo Unified,Washington Manor Middle,N,,,6,8,830,372,372,44.8%,465,465,56.0%,
2013-14,01,75093,0114579,Alameda,Dublin Unified,John Green Elementary,N,,,K,5,910,17,19,2.1%,18,20,2.2%,
2013-14,01,75093,0123935,Alameda,Dublin Unified,Harold William Kolb,N,,,K,5,960,37,38,4.0%,37,38,4.0%,
2013-14,01,75093,0125930,Alameda,Dublin Unified,Eleanor Murray Fallon,N,,,6,8,"1,021",44,45,4.4%,50,51,5.0%,
2013-14,01,75093,0132704,Alameda,Dublin Unified,Dublin High,N,,,9,12,"1,906",179,185,9.7%,206,212,11.1%,
2013-14,01,75093,0138453,Alameda,Dublin Unified,Valley High (Continuation),N,,,9,12,79,23,23,29.1%,23,23,29.1%,
2013-14,01,75093,6001374,Alameda,Dublin Unified,Dublin Elementary,N,,,K,5,689,64,64,9.3%,75,75,10.9%,
2013-14,01,75093,6001390,Alameda,Dublin Unified,Frederiksen Elementary,N,,,K,5,698,114,119,17.0%,128,133,19.1%,
2013-14,01,75093,6001424,Alameda,Dublin Unified,Murray Elementary,N,,,K,5,382,57,58,15.2%,61,62,16.2%,
2013-14,01,75093,6066484,Alameda,Dublin Unified,Wells Middle,N,,,6,8,820,117,124,15.1%,136,143,17.4%,
2013-14,01,75093,6118038,Alameda,Dublin Unified,James Dougherty Elementary,N,,,K,5,805,19,19,2.4%,22,22,2.7%,
2013-14,01,75101,0000000,Alameda,Pleasanton Unified,District Office,N,,,P,12,43,21,21,48.8%,22,22,51.2%,
2013-14,01,75101,0000001,Alameda,Pleasanton Unified,"Nonpublic, Nonsectarian Schools",N,,,,,19,1,1,5.3%,1,1,5.3%,
2013-14,01,75101,0130096,Alameda,Pleasanton Unified,Foothill High,N,,,9,12,"2,158",63,63,2.9%,90,90,4.2%,
2013-14,01,75101,0130252,Alameda,Pleasanton Unified,Village High,N,,,9,12,98,4,5,5.1%,4,5,5.1%,
