id,name,district,city,enrollment,up_to_date_count,conditional_count,personal_belief_exemption_count,permanent_medical_exemption_count,up_to_date_percent,conditional_percent,personal_belief_exemption_percent,permanent_medical_exemption_percent,type,is_religious,religion,frpm_percent,latitude,longitude
6004782,HARDING ELEMENTARY,WEST CONTRA COSTA UNIFIED,EL CERRITO,40,37,0,3,0,93,0,8,0,PUBLIC,,,35.1,37.902142,-122.29415
6004808,KENSINGTON ELEMENTARY,WEST CONTRA COSTA UNIFIED,KENSINGTON,65,60,0,5,0,92,0,8,0,PUBLIC,,,8.1,37.913671,-122.27941
6004824,LAKE ELEMENTARY,WEST CONTRA COSTA UNIFIED,SAN PABLO,46,46,0,0,0,100,0,0,0,PUBLIC,,,95.6,37.970931,-122.35272
6004832,LINCOLN ELEMENTARY,WEST CONTRA COSTA UNIFIED,RICHMOND,64,63,1,0,0,98,2,0,0,PUBLIC,,,94.6,37.931936,-122.36453
6004840,MADERA ELEMENTARY,WEST CONTRA COSTA UNIFIED,EL CERRITO,74,74,0,0,0,100,0,0,0,PUBLIC,,,18,37.927871,-122.29809
6004857,MIRA VISTA ELEMENTARY,WEST CONTRA COSTA UNIFIED,RICHMOND,50,47,1,2,0,94,2,4,0,PUBLIC,,,63.7,37.939978,-122.31307
6004865,MONTALVIN MANOR ELEMENTARY,WEST CONTRA COSTA UNIFIED,SAN PABLO,59,58,1,0,0,98,2,0,0,PUBLIC,,,93,37.995891,-122.33548
6004873,MURPHY ELEMENTARY,WEST CONTRA COSTA UNIFIED,EL SOBRANTE,70,68,2,0,0,97,3,0,0,PUBLIC,,,66.5,37.97541,-122.2918
6004881,NYSTROM ELEMENTARY,WEST CONTRA COSTA UNIFIED,RICHMOND,85,83,2,0,0,98,2,0,0,PUBLIC,,,96,37.92815,-122.35897
6004899,OLINDA ELEMENTARY,WEST CONTRA COSTA UNIFIED,EL SOBRANTE,42,38,2,2,0,90,5,5,0,PUBLIC,,,27.8,37.957909,-122.26961
6004907,PERES ELEMENTARY,WEST CONTRA COSTA UNIFIED,RICHMOND,71,70,1,0,0,99,1,0,0,PUBLIC,,,78.2,37.942965,-122.36437
6004915,KING ELEMENTARY,WEST CONTRA COSTA UNIFIED,RICHMOND,74,73,1,0,0,99,1,0,0,PUBLIC,,,96.4,37.928806,-122.33278
6004931,RIVERSIDE ELEMENTARY,WEST CONTRA COSTA UNIFIED,RICHMOND,45,44,1,0,0,98,2,0,0,PUBLIC,,,88.9,37.952819,-122.32651
6004956,SHANNON ELEMENTARY,WEST CONTRA COSTA UNIFIED,PINOLE,82,82,0,0,0,100,0,0,0,PUBLIC,,,67.6,38.000513,-122.31085
6004964,SHELDON ELEMENTARY,WEST CONTRA COSTA UNIFIED,RICHMOND,39,38,1,0,0,97,3,0,0,PUBLIC,,,68.4,37.968035,-122.2982
